date,open,high,low,close,num_hours,avg_ratio,std_ratio
2025-09-04,0.17557932263814616,0.17850833857301115,0.17557932263814616,0.17749034402227612,14,0.17732627914757357,0.0007988423763667768
2025-09-05,0.17749034402227612,0.19279020329949997,0.17749034402227612,0.19027515793886043,24,0.18290218270008085,0.006057991107142265
2025-09-06,0.19015539387406807,0.20985658253241116,0.18937692745291776,0.1967624468312984,24,0.19572546359353704,0.007107491700513384
2025-09-07,0.19829248141007988,0.20563664738823098,0.1938859818231892,0.19896569662474373,24,0.20023052520986973,0.003206735747347372
2025-09-08,0.20031212705407142,0.2070136785091343,0.19462039842100431,0.19752746412068914,24,0.20118169670634556,0.004174695134712277
2025-09-09,0.1986290890174118,0.20646286606077296,0.19734385997123535,0.20150555402552098,24,0.20120082213858037,0.002689504269723668
2025-09-10,0.20260717892224364,0.20995134490039474,0.1978028703448698,0.20178096024970163,24,0.20486397992594632,0.003299714468671911
2025-09-11,0.20064873466140334,0.22356956795113625,0.19309036384222283,0.22356956795113625,24,0.20184860858534467,0.009527281699259661
2025-09-12,0.2234498038863439,0.23642094311331435,0.2234498038863439,0.2356559258239236,24,0.2335726768225285,0.002413505114465791
2025-09-13,0.23534991890816734,0.23534991890816734,0.2212736007833777,0.22145720493283147,24,0.2251024618103823,0.003532619515514437
2025-09-14,0.22148780562440712,0.2221916215306466,0.16819827346143135,0.16819827346143135,24,0.20418032481368667,0.020505493237808717
2025-09-15,0.16974535103190075,0.1776354466412946,0.16148395680559424,0.16374269005847952,24,0.16876166754334396,0.005157301515558314
2025-09-16,0.16498035211485504,0.17243726600451748,0.16132924904854729,0.16621801417123055,24,0.16712821147519005,0.0031236401172064494
2025-09-17,0.16689872830223706,0.17367492806089296,0.16689872830223706,0.1673009684705591,24,0.17052920366760524,0.0019954035671871377
2025-09-18,0.16696061140505586,0.17827416084021913,0.16488884766410042,0.16937204340970224,24,0.17029488185014063,0.0036911718150208707
